Id,FileID,Domain,RepoName,FilePath,LineStart:LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
817,4f70ac78,GitHub,3f5c0c63,data/3f5c0c63/src/b.js,13913:13913,F,F,,,F,F,,,,,0,0,F,F,F,
5458,56a24f6e,GitHub,3f5c0c63,data/3f5c0c63/src/d.spec,104:104,F,F,,,F,F,,,,,0,0,F,F,F,
15811,4f70ac78,GitHub,3f5c0c63,data/3f5c0c63/src/b.js,13916:13916,F,F,,,F,F,,,,,0,0,F,F,F,
16555,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,1050:1050,F,F,,,F,F,,,,,0,0,F,F,F,
16587,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,1092:1092,F,F,,,F,F,,,,,0,0,F,F,F,
16678,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,759:759,F,F,,,F,F,,,,,0,0,F,F,F,
17766,fb086ca7,GitHub,3f5c0c63,data/3f5c0c63/src/c.js,19:19,Template,F,,,F,F,,,,,0,0,F,F,F,
17807,fb086ca7,GitHub,3f5c0c63,data/3f5c0c63/src/c.js,16:16,F,F,,,F,F,,,,,0,0,F,F,F,
18629,4f70ac78,GitHub,3f5c0c63,data/3f5c0c63/src/b.js,15605:15605,F,F,,,F,F,,,,,0,0,F,F,F,
18633,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10815:10815,F,F,,,F,F,,,,,0,0,F,F,F,
18634,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10111:10111,F,F,,,F,F,,,,,0,0,F,F,F,
18635,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10253:10253,F,F,,,F,F,,,,,0,0,F,F,F,
18636,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10105:10105,F,F,,,F,F,,,,,0,0,F,F,F,
18637,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10247:10247,F,F,,,F,F,,,,,0,0,F,F,F,
42885,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,1039:1039,F,F,,,F,F,,,,,0,0,F,F,F,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,9737:9737,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,9857:9857,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,9992:9992,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10387:10387,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10532:10532,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10534:10534,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10677:10677,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10809:10809,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,10950:10950,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,11091:11091,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,11232:11232,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,11375:11375,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,11521:11521,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,11667:11667,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,11814:11814,F,,,,,,,,,,,,,,,
,3af3bffc,GitHub,3f5c0c63,data/3f5c0c63/src/a.js,7034:7034,F,,,,,,,,,,,,,,,
